,song_title,artist,duration_ms
1602,"String Quintet in C Major, Op. 29: II. Adagio molto espressivo",Ludwig van Beethoven,649415
304,Night on Bald Mountain,Modest Mussorgsky,659560
858,Night on Bald Mountain,Modest Mussorgsky,700027
404,Who Is He And What Is He To You,Creative Source,703107
335,Zombie,Fela Kuti,745653
1565,Gloomy Sunday,Branford Marsalis,763467
1603,Viola Sonata in C Minor: III. Andante con variazioni,Felix Mendelssohn,784013
819,Southern Man - Live,"Crosby, Stills, Nash & Young",825027
695,Music Is the Answer - Original Extended 12-Inch Mix,Celeda,849960
1535,The Nearness of You,Joshua Redman,1004627
